"field","agency","report_year_13","report_year_py","report_year_cy","funding_13","funding_py","funding_cy","difference_13","dif_pct_13","difference_py","dif_pct_py"
"Psychology","USDA",2013,2019,2020,6167,10961,6329,162,"0.0263",-4632,"-0.4226"
"Psychology","USDA",2013,2020,2021,6167,6329,4848,-1319,"-0.2139",-1481,"-0.2340"
"Psychology","USDA",2013,2021,2022,6167,4848,2508,-3659,"-0.5933",-2340,"-0.4827"
"Psychology","USDA",2013,2022,2023,6167,2508,3620,-2547,"-0.4130",1112,"0.4434"
"Social sciences","DOD",2013,2012,2013,94368,96925,94368,0,"0.0000",-2557,"-0.0264"
"Social sciences","DOD",2013,2013,2014,94368,94368,98545,4177,"0.0443",4177,"0.0443"
"Social sciences","DOD",2013,2014,2015,94368,98545,84136,-10232,"-0.1084",-14409,"-0.1462"
"Social sciences","DOD",2013,2015,2016,94368,84136,77668,-16700,"-0.1770",-6468,"-0.0769"
"Social sciences","DOD",2013,2016,2017,94368,77668,84014,-10354,"-0.1097",6346,"0.0817"
"Social sciences","DOD",2013,2017,2018,94368,84014,75871,-18497,"-0.1960",-8143,"-0.0969"
"Social sciences","DOD",2013,2018,2019,94368,75871,78679,-15689,"-0.1663",2808,"0.0370"
"Social sciences","DOD",2013,2019,2020,94368,78679,81889,-12479,"-0.1322",3210,"0.0408"
"Social sciences","DOD",2013,2020,2021,94368,81889,69673,-24695,"-0.2617",-12216,"-0.1492"
"Social sciences","DOD",2013,2021,2022,94368,69673,82537,-11831,"-0.1254",12864,"0.1846"
"Social sciences","DOD",2013,2022,2023,94368,82537,101687,7319,"0.0776",19150,"0.2320"
"Social sciences","DOE",2013,2012,2013,11031,11592,11031,0,"0.0000",-561,"-0.0484"
"Social sciences","DOE",2013,2013,2014,11031,11031,8489,-2542,"-0.2304",-2542,"-0.2304"
"Social sciences","DOE",2013,2014,2015,11031,8489,8893,-2138,"-0.1938",404,"0.0476"
"Social sciences","DOE",2013,2015,2016,11031,8893,10387,-644,"-0.0584",1494,"0.1680"
"Social sciences","DOE",2013,2016,2017,11031,10387,8846,-2185,"-0.1981",-1541,"-0.1484"
"Social sciences","DOE",2013,2017,2018,11031,8846,6287,-4744,"-0.4301",-2559,"-0.2893"
"Social sciences","DOE",2013,2018,2019,11031,6287,4954,-6077,"-0.5509",-1333,"-0.2120"
"Social sciences","DOE",2013,2019,2020,11031,4954,5929,-5102,"-0.4625",975,"0.1968"
"Social sciences","DOE",2013,2020,2021,11031,5929,10740,-291,"-0.0264",4811,"0.8114"
"Social sciences","DOE",2013,2021,2022,11031,10740,14712,3681,"0.3337",3972,"0.3698"
"Social sciences","DOE",2013,2022,2023,11031,14712,17502,6471,"0.5866",2790,"0.1896"
"Social sciences","HHS",2013,2012,2013,304824,318749,304824,0,"0.0000",-13925,"-0.0437"
"Social sciences","HHS",2013,2013,2014,304824,304824,313362,8538,"0.0280",8538,"0.0280"
"Social sciences","HHS",2013,2014,2015,304824,313362,311180,6356,"0.0209",-2182,"-0.0070"
"Social sciences","HHS",2013,2015,2016,304824,311180,323700,18876,"0.0619",12520,"0.0402"
"Social sciences","HHS",2013,2016,2017,304824,323700,344466,39642,"0.1300",20766,"0.0642"
"Social sciences","HHS",2013,2017,2018,304824,344466,349399,44575,"0.1462",4933,"0.0143"
"Social sciences","HHS",2013,2018,2019,304824,349399,374040,69216,"0.2271",24641,"0.0705"
"Social sciences","HHS",2013,2019,2020,304824,374040,398811,93987,"0.3083",24771,"0.0662"
"Social sciences","HHS",2013,2020,2021,304824,398811,404139,99315,"0.3258",5328,"0.0134"
"Social sciences","HHS",2013,2021,2022,304824,404139,461638,156814,"0.5144",57499,"0.1423"
"Social sciences","HHS",2013,2022,2023,304824,461638,505495,200671,"0.6583",43857,"0.0950"
"Social sciences","NASA",2013,2012,2013,15245,13018,15245,0,"0.0000",2227,"0.1711"
"Social sciences","NASA",2013,2013,2014,15245,15245,16990,1745,"0.1145",1745,"0.1145"
"Social sciences","NASA",2013,2014,2015,15245,16990,16251,1006,"0.0660",-739,"-0.0435"
"Social sciences","NASA",2013,2015,2016,15245,16251,7925,-7320,"-0.4802",-8326,"-0.5123"
"Social sciences","NASA",2013,2016,2017,15245,7925,10580,-4665,"-0.3060",2655,"0.3350"
"Social sciences","NASA",2013,2017,2018,15245,10580,14251,-994,"-0.0652",3671,"0.3470"
"Social sciences","NASA",2013,2018,2019,15245,14251,24815,9570,"0.6277",10564,"0.7413"
"Social sciences","NASA",2013,2019,2020,15245,24815,23652,8407,"0.5515",-1163,"-0.0469"
"Social sciences","NASA",2013,2020,2021,15245,23652,17391,2146,"0.1408",-6261,"-0.2647"
"Social sciences","NASA",2013,2021,2022,15245,17391,15288,43,"0.0028",-2103,"-0.1209"
"Social sciences","NASA",2013,2022,2023,15245,15288,15219,-26,"-0.0017",-69,"-0.0045"
"Social sciences","NSF",2013,2012,2013,148870,142863,148870,0,"0.0000",6007,"0.0420"
"Social sciences","NSF",2013,2013,2014,148870,148870,132814,-16056,"-0.1079",-16056,"-0.1079"
"Social sciences","NSF",2013,2014,2015,148870,132814,142999,-5871,"-0.0394",10185,"0.0767"
"Social sciences","NSF",2013,2015,2016,148870,142999,145028,-3842,"-0.0258",2029,"0.0142"
"Social sciences","NSF",2013,2016,2017,148870,145028,153762,4892,"0.0329",8734,"0.0602"
"Social sciences","NSF",2013,2017,2018,148870,153762,150501,1631,"0.0110",-3261,"-0.0212"
"Social sciences","NSF",2013,2018,2019,148870,150501,149755,885,"0.0059",-746,"-0.0050"
"Social sciences","NSF",2013,2019,2020,148870,149755,150786,1916,"0.0129",1031,"0.0069"
"Social sciences","NSF",2013,2020,2021,148870,150786,153552,4682,"0.0315",2766,"0.0183"
"Social sciences","NSF",2013,2021,2022,148870,153552,161144,12274,"0.0824",7592,"0.0494"
"Social sciences","NSF",2013,2022,2023,148870,161144,192977,44107,"0.2963",31833,"0.1975"
"Social sciences","Other agencies",2013,2012,2013,267440,279444,267440,0,"0.0000",-12004,"-0.0430"
"Social sciences","Other agencies",2013,2013,2014,267440,267440,287904,20464,"0.0765",20464,"0.0765"
"Social sciences","Other agencies",2013,2014,2015,267440,287904,289022,21582,"0.0807",1118,"0.0039"
"Social sciences","Other agencies",2013,2015,2016,267440,289022,284844,17404,"0.0651",-4178,"-0.0145"
"Social sciences","Other agencies",2013,2016,2017,267440,284844,282784,15344,"0.0574",-2060,"-0.0072"
"Social sciences","Other agencies",2013,2017,2018,267440,282784,300576,33136,"0.1239",17792,"0.0629"
"Social sciences","Other agencies",2013,2018,2019,267440,300576,274103,6663,"0.0249",-26473,"-0.0881"
"Social sciences","Other agencies",2013,2019,2020,267440,274103,255582,-11858,"-0.0443",-18521,"-0.0676"
"Social sciences","Other agencies",2013,2020,2021,267440,255582,236312,-31128,"-0.1164",-19270,"-0.0754"
"Social sciences","Other agencies",2013,2021,2022,267440,236312,267646,206,"0.0008",31334,"0.1326"
"Social sciences","Other agencies",2013,2022,2023,267440,267646,299804,32364,"0.1210",32158,"0.1202"
"Social sciences","Total",2013,2012,2013,897585,915874,897585,0,"0.0000",-18289,"-0.0200"
"Social sciences","Total",2013,2013,2014,897585,897585,917670,20085,"0.0224",20085,"0.0224"
"Social sciences","Total",2013,2014,2015,897585,917670,921751,24166,"0.0269",4081,"0.0044"
"Social sciences","Total",2013,2015,2016,897585,921751,899551,1966,"0.0022",-22200,"-0.0241"
"Social sciences","Total",2013,2016,2017,897585,899551,932620,35035,"0.0390",33069,"0.0368"
"Social sciences","Total",2013,2017,2018,897585,932620,937702,40117,"0.0447",5082,"0.0054"
"Social sciences","Total",2013,2018,2019,897585,937702,938422,40837,"0.0455",720,"0.0008"
"Social sciences","Total",2013,2019,2020,897585,938422,963623,66038,"0.0736",25201,"0.0269"
"Social sciences","Total",2013,2020,2021,897585,963623,949941,52356,"0.0583",-13682,"-0.0142"
"Social sciences","Total",2013,2021,2022,897585,949941,1074208,176623,"0.1968",124267,"0.1308"
"Social sciences","Total",2013,2022,2023,897585,1074208,1202546,304961,"0.3398",128338,"0.1195"
"Social sciences","USDA",2013,2012,2013,55807,53283,55807,0,"0.0000",2524,"0.0474"
"Social sciences","USDA",2013,2013,2014,55807,55807,59566,3759,"0.0674",3759,"0.0674"
"Social sciences","USDA",2013,2014,2015,55807,59566,69270,13463,"0.2412",9704,"0.1629"
"Social sciences","USDA",2013,2015,2016,55807,69270,49999,-5808,"-0.1041",-19271,"-0.2782"
"Social sciences","USDA",2013,2016,2017,55807,49999,48168,-7639,"-0.1369",-1831,"-0.0366"
"Social sciences","USDA",2013,2017,2018,55807,48168,40817,-14990,"-0.2686",-7351,"-0.1526"
"Social sciences","USDA",2013,2018,2019,55807,40817,32076,-23731,"-0.4252",-8741,"-0.2142"
"Social sciences","USDA",2013,2019,2020,55807,32076,46974,-8833,"-0.1583",14898,"0.4645"
"Social sciences","USDA",2013,2020,2021,55807,46974,58134,2327,"0.0417",11160,"0.2376"
"Social sciences","USDA",2013,2021,2022,55807,58134,71243,15436,"0.2766",13109,"0.2255"
"Social sciences","USDA",2013,2022,2023,55807,71243,69862,14055,"0.2519",-1381,"-0.0194"
